SliceNumber,ClusterCount
1,1
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,1
