SliceNumber,ClusterCount
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,1
34,0
